xaxis	yaxis1	yaxis2	yaxis3
1	1	2	3
2	4	8	12
3	9	18	27
4	16	32	48
5	25	50	75
6	36	72	108
7	49	98	147
8	64	128	192
9	81	162	243
10	100	200	300
11	121	242	363
12	144	288	432
13	169	338	507
14	196	392	588
15	225	450	675
16	256	512	768
17	289	578	867
18	324	648	972
19	361	722	1083
20	400	800	1200
21	441	882	1323
22	484	968	1452
23	529	1058	1587
24	576	1152	1728
25	625	1250	1875
26	676	1352	2028
27	729	1458	2187
28	784	1568	2352
29	841	1682	2523
30	900	1800	2700
31	961	1922	2883
32	1024	2048	3072
33	1089	2178	3267
34	1156	2312	3468
35	1225	2450	3675
36	1296	2592	3888
37	1369	2738	4107
38	1444	2888	4332
39	1521	3042	4563
40	1600	3200	4800
41	1681	3362	5043
42	1764	3528	5292
43	1849	3698	5547
44	1936	3872	5808
45	2025	4050	6075
46	2116	4232	6348
47	2209	4418	6627
48	2304	4608	6912
49	2401	4802	7203
50	2500	5000	7500
